Date,Value
2020-01-31,1.111456198512463
2020-02-29,-0.26768866417923276
2020-03-31,0.8677138980014144
2020-04-30,0.20995198962540274
2020-05-31,-0.6262207293409356
2020-06-30,0.010331738151472147
2020-07-31,1.1325614903637742
2020-08-31,-0.7014112033226922
2020-09-30,-0.6763473670652758
2020-10-31,0.8077859542699433
2020-11-30,-1.4063881900077821
2020-12-31,0.6162384711770338
2021-01-31,0.027702975126291163
2021-02-28,1.8010290160891107
2021-03-31,1.851504541310984
2021-04-30,2.3306365809577976
2021-05-31,1.547349860569052
2021-06-30,3.0635353972179122
2021-07-31,-0.32112614093980807
2021-08-31,1.2466815786810774
2021-09-30,-1.804506866582098
2021-10-31,0.45935343199802486
2021-11-30,-1.2710740632927382
2021-12-31,1.0035570565844918
2022-01-31,1.1434969889596427
2022-02-28,1.0418984742682458
2022-03-31,2.205019535135521
2022-04-30,2.7422361115484635
2022-05-31,2.882789229665305
2022-06-30,1.216237688118652
2022-07-31,1.0156130878840215
2022-08-31,1.6233781387829618
2022-09-30,0.5743281841214686
2022-10-31,0.4993267232167171
2022-11-30,0.19978609438671502
2022-12-31,0.7142019878438344
2023-01-31,2.4618648947772783
2023-02-28,2.754929185512219
2023-03-31,2.3296912049249294
2023-04-30,4.271060564740049
2023-05-31,4.027628454089602
2023-06-30,2.0276322244349023
2023-07-31,0.6232465411574377
2023-08-31,1.0349705136491205
2023-09-30,2.136260806242302
2023-10-31,3.2172449672544534
2023-11-30,2.0546784256274897
2023-12-31,1.2570289873015053
2024-01-31,2.7953991993190352
2024-02-29,1.3840121220328216
2024-03-31,3.186403896462492
2024-04-30,3.0016430657105397
2024-05-31,3.9213780650939407
2024-06-30,2.4851310431546203
2024-07-31,2.2715032793498176
2024-08-31,1.267795882522873
2024-09-30,3.4002244165062914
2024-10-31,2.033500767478972
2024-11-30,3.389097496040121
2024-12-31,0.7449369627870654
2025-01-31,2.5661722920961783
2025-02-28,3.3377847839986163
2025-03-31,4.584869546737392
2025-04-30,5.301991779928566
2025-05-31,4.288537664829106
2025-06-30,3.9212660163063933
2025-07-31,4.973393845957957
2025-08-31,2.3424107435142334
2025-09-30,3.537745777433351
2025-10-31,1.6315798713442342
2025-11-30,2.178989249951318
2025-12-31,1.4732883570506712
2026-01-31,4.1226271227089715
2026-02-28,3.5638558747067117
2026-03-31,3.247345410981735
2026-04-30,5.29737946959171
2026-05-31,5.246890366628628
2026-06-30,4.593158817655782
2026-07-31,3.6360685916341935
2026-08-31,1.8133373346370165
2026-09-30,4.476848673986149
2026-10-31,2.179083418709255
2026-11-30,4.144827599439946
2026-12-31,3.3004975368864167
2027-01-31,4.628908144871469
2027-02-28,5.697744473256806
2027-03-31,6.229662146769559
2027-04-30,5.223426191453305
2027-05-31,5.101193105953439
2027-06-30,5.720795376581646
2027-07-31,4.8650864444929915
2027-08-31,5.471473178074356
2027-09-30,2.248132951678416
2027-10-31,4.458883323300449
2027-11-30,2.63847988125192
2027-12-31,4.803041097135144
2028-01-31,4.69489666996022
2028-02-29,4.410417546066161
2028-03-31,5.204907926091045
2028-04-30,5.386790925380679
